Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type
Miu.1.b.17.S65,MiFish,MiFish_2012_3_86.7_50_1_1,2012_3_86.7_50,2012,1,1,Sample,NA
Miu.1.b.18.S66,MiFish,MiFish_2012_3_93.3_30_1_1,2012_3_93.3_30,2012,1,1,Sample,NA
Miu.1.b.19.S67,MiFish,MiFish_2012_3_93.3_60_1_1,2012_3_93.3_60,2012,1,1,Sample,NA
Miu.2.b.16.S164,MiFish,MiFish_2012_4_80_60_1_2,2012_4_80_60,2012,1,2,Sample,NA
Miu.2.b.17.S165,MiFish,MiFish_2012_3_86.7_50_1_2,2012_3_86.7_50,2012,1,2,Sample,NA
Miu.2.b.18.S166,MiFish,MiFish_2012_3_93.3_30_1_2,2012_3_93.3_30,2012,1,2,Sample,NA
Miu.2.b.19.S167,MiFish,MiFish_2012_3_93.3_60_1_2,2012_3_93.3_60,2012,1,2,Sample,NA
Miu.3.b.16.S264,MiFish,MiFish_2012_4_80_60_1_3,2012_4_80_60,2012,1,3,Sample,NA
Miu.3.b.17.S265,MiFish,MiFish_2012_3_86.7_50_1_3,2012_3_86.7_50,2012,1,3,Sample,NA
Miu.3.b.18.S266,MiFish,MiFish_2012_3_93.3_30_1_3,2012_3_93.3_30,2012,1,3,Sample,NA
Miu.3.b.19.S267,MiFish,MiFish_2012_3_93.3_60_1_3,2012_3_93.3_60,2012,1,3,Sample,NA
Seb.Rep.1.long.b.17.S62,Sebastes,Sebastes_2012_3_86.7_50_1_1,2012_3_86.7_50,2012,1,1,Sample,NA
Seb.Rep.2.b.17.S156,Sebastes,Sebastes_2012_3_86.7_50_1_2,2012_3_86.7_50,2012,1,2,Sample,NA
Seb.Rep.3.b.17.S250,Sebastes,Sebastes_2012_3_86.7_50_1_3,2012_3_86.7_50,2012,1,3,Sample,NA
Seb.Rep.1.long.b.18.S63,Sebastes,Sebastes_2012_3_93.3_30_1_1,2012_3_93.3_30,2012,1,1,Sample,NA
Seb.Rep.2.b.18.S157,Sebastes,Sebastes_2012_3_93.3_30_1_2,2012_3_93.3_30,2012,1,2,Sample,NA
Seb.Rep.3.b.18.S251,Sebastes,Sebastes_2012_3_93.3_30_1_3,2012_3_93.3_30,2012,1,3,Sample,NA
Seb.Rep.1.long.b.19.S64,Sebastes,Sebastes_2012_3_93.3_60_1_1,2012_3_93.3_60,2012,1,1,Sample,NA
Seb.Rep.2.b.19.S158,Sebastes,Sebastes_2012_3_93.3_60_1_2,2012_3_93.3_60,2012,1,2,Sample,NA
Seb.Rep.3.b.19.S252,Sebastes,Sebastes_2012_3_93.3_60_1_3,2012_3_93.3_60,2012,1,3,Sample,NA
Seb.Rep.1.long.b.16.S61,Sebastes,Sebastes_2012_4_80_60_1_1,2012_4_80_60,2012,1,1,Sample,NA
Seb.Rep.2.b.16.S155,Sebastes,Sebastes_2012_4_80_60_1_2,2012_4_80_60,2012,1,2,Sample,NA
